divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
22	0.2087	0.000939662918462	22:0.02104055486[&age_median=0.02104055486,age_mean=0.031093576804,age_n=2087,age_range={9.692973e-05,0.20846780296},age_hpdi_95={9.692973e-05,0.09288117103},age_qi_95={0.002593957208,0.109470433891}]
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.0344	0.00209970316983	1:0.00969245283[&age_median=0.00969245283,age_mean=0.00959032663904,age_n=344,age_range={0.00782892185,0.00999874632},age_hpdi_95={0.00889492846,0.00999874632},age_qi_95={0.00867218615375,0.0099898677075}],1:0.009302224355[&age_median=0.009302224355,age_mean=0.00920923116355,age_n=344,age_range={0.00687048304,0.0099777446},age_hpdi_95={0.0082353364,0.00992806251},age_qi_95={0.00800520812575,0.00987245178225}],1:0.00887362692[&age_median=0.00887362692,age_mean=0.00882470539794,age_n=344,age_range={0.00681211479,0.00983362982},age_hpdi_95={0.00778973286,0.0098091424},age_qi_95={0.007485899371,0.009725021001}],1:0.00847390851[&age_median=0.00847390851,age_mean=0.0083768029661,age_n=344,age_range={0.00561747889,0.00967639119},age_hpdi_95={0.00690613535,0.009637361},age_qi_95={0.006576191923,0.009464254141}],1:0.008107061555[&age_median=0.008107061555,age_mean=0.00798336276965,age_n=344,age_range={0.00551060106,0.00951023405},age_hpdi_95={0.00632434825,0.00931563756},age_qi_95={0.0062090835075,0.00923371481175}],1:0.00755616836[&age_median=0.00755616836,age_mean=0.00750868057846,age_n=344,age_range={0.00507888675,0.00939598808},age_hpdi_95={0.00584893237,0.00919105459},age_qi_95={0.005546172438,0.0089902401095}],1:0.00715480805[&age_median=0.00715480805,age_mean=0.00706411309372,age_n=344,age_range={0.00402473034,0.00904031612},age_hpdi_95={0.00544457715,0.0087520662},age_qi_95={0.0053066148305,0.00868641642525}],1:0.00671339574[&age_median=0.00671339574,age_mean=0.00664806408712,age_n=344,age_range={0.00374932593,0.00864135047},age_hpdi_95={0.00489216157,0.00843699746},age_qi_95={0.00465298951,0.0082165711585}],1:0.00626537293[&age_median=0.00626537293,age_mean=0.00625688487102,age_n=344,age_range={0.00358608487,0.00854596286},age_hpdi_95={0.0044698101,0.00821689102},age_qi_95={0.004271852072,0.00810530566425}],1:0.00582853014[&age_median=0.00582853014,age_mean=0.00584283047337,age_n=344,age_range={0.00276528214,0.00849604442},age_hpdi_95={0.00394155102,0.00775807081},age_qi_95={0.00392985390225,0.00774768997275}],1:0.005420558535[&age_median=0.005420558535,age_mean=0.00541092259523,age_n=344,age_range={0.00229994915,0.00808158194},age_hpdi_95={0.00337316973,0.00740498679},age_qi_95={0.0034547558505,0.0075448388625}],1:0.00498748296[&age_median=0.00498748296,age_mean=0.00501875534314,age_n=344,age_range={0.00218822335,0.00782346689},age_hpdi_95={0.00298700833,0.00688613019},age_qi_95={0.003126986031,0.00708561314275}],1:0.00460025373[&age_median=0.00460025373,age_mean=0.00461193225962,age_n=344,age_range={0.0019336791,0.00756418571},age_hpdi_95={0.00259829508,0.00630970782},age_qi_95={0.0027116393445,0.00677083146125}],1:0.004183146475[&age_median=0.004183146475,age_mean=0.00413241379814,age_n=344,age_range={0.00153692997,0.00715672405},age_hpdi_95={0.00227886569,0.00609558516},age_qi_95={0.00222795515675,0.00607962400525}],1:0.0036885885[&age_median=0.0036885885,age_mean=0.00375757025608,age_n=344,age_range={0.00130697099,0.00697498618},age_hpdi_95={0.00186463252,0.00557765654},age_qi_95={0.00191986739775,0.00567090861025}],1:0.00327188951[&age_median=0.00327188951,age_mean=0.00335065152581,age_n=344,age_range={0.00092939789,0.00682752348},age_hpdi_95={0.00138797113,0.00519069295},age_qi_95={0.00149328114725,0.00535730027775}],1:0.002759564815[&age_median=0.002759564815,age_mean=0.00285629185169,age_n=344,age_range={0.00067194337,0.00678435132},age_hpdi_95={0.0012760227,0.00488490023},age_qi_95={0.00123111250625,0.004861384857}],1:0.002349711165[&age_median=0.002349711165,age_mean=0.00243815852317,age_n=344,age_range={0.00031706783,0.0057856939},age_hpdi_95={0.00060584615,0.00407108137},age_qi_95={0.00077953627025,0.00432080064425}],1:0.00188037245[&age_median=0.00188037245,age_mean=0.00197318194,age_n=344,age_range={0.00030150364,0.00480498615},age_hpdi_95={0.00047811786,0.00351781241},age_qi_95={0.000595230647,0.00372643073}],1:0.00140621664[&age_median=0.00140621664,age_mean=0.00150494122474,age_n=344,age_range={0.00019920538,0.00460216626},age_hpdi_95={0.00019920538,0.00288776538},age_qi_95={0.000368401963,0.0031933344745}],1:0.000874559075[&age_median=0.000874559075,age_mean=0.00100434560532,age_n=344,age_range={9.924717e-05,0.00343803407},age_hpdi_95={9.924717e-05,0.00226410727},age_qi_95={0.00016906555125,0.00273107846125}],1:0.00034377767[&age_median=0.00034377767,age_mean=0.000522667288256,age_n=344,age_range={6.46305e-06,0.00275575675},age_hpdi_95={6.46305e-06,0.00165315969},age_qi_95={2.433415425e-05,0.00189306329625}]
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.0338	0.00242919903959	2:0.005160934035[&age_median=0.005160934035,age_mean=0.00516816934822,age_n=338,age_range={2.073451e-05,0.00998615057},age_hpdi_95={0.00077745415,0.00998615057},age_qi_95={0.00037694312125,0.0098246958955}],1:0.00970926895[&age_median=0.00970926895,age_mean=0.00957969017251,age_n=338,age_range={0.00759781685,0.00999985625},age_hpdi_95={0.00876127012,0.00999985625},age_qi_95={0.0086712994825,0.0099859181775}],1:0.009305713915[&age_median=0.009305713915,age_mean=0.00917536239536,age_n=338,age_range={0.007121621,0.00999156923},age_hpdi_95={0.00790772842,0.00990270024},age_qi_95={0.00773653697275,0.00985390462525}],1:0.008868288985[&age_median=0.008868288985,age_mean=0.00875530868843,age_n=338,age_range={0.00580248273,0.00994268702},age_hpdi_95={0.00738859348,0.00973941407},age_qi_95={0.00726771530575,0.0097046239325}],1:0.008401755975[&age_median=0.008401755975,age_mean=0.00825049434858,age_n=338,age_range={0.00563484815,0.00976493253},age_hpdi_95={0.00658432644,0.00957444954},age_qi_95={0.0063922341495,0.009500879339}],1:0.00797824715[&age_median=0.00797824715,age_mean=0.00784756640686,age_n=338,age_range={0.00523027711,0.00955893265},age_hpdi_95={0.00633454954,0.00955893265},age_qi_95={0.00578949724875,0.00916045737}],1:0.00749903834[&age_median=0.00749903834,age_mean=0.00739079063358,age_n=338,age_range={0.00398934553,0.0094965752},age_hpdi_95={0.00552961505,0.0089824923},age_qi_95={0.005425599705,0.00888856539425}],1:0.00704266799[&age_median=0.00704266799,age_mean=0.00694218687852,age_n=338,age_range={0.00385064539,0.00949290592},age_hpdi_95={0.0052144612,0.00863448735},age_qi_95={0.0051472718305,0.00858599611125}],1:0.006557526715[&age_median=0.006557526715,age_mean=0.00650988120228,age_n=338,age_range={0.00347835429,0.0093959387},age_hpdi_95={0.00469354151,0.00824017628},age_qi_95={0.00469606366825,0.00822301665}],1:0.006103184385[&age_median=0.006103184385,age_mean=0.00602920339145,age_n=338,age_range={0.00302198337,0.00837688466},age_hpdi_95={0.00419588977,0.00779908768},age_qi_95={0.00420285146125,0.00778241247775}],1:0.00558511633[&age_median=0.00558511633,age_mean=0.00553607103583,age_n=338,age_range={0.00275171167,0.0081718638},age_hpdi_95={0.0035609559,0.00722952615},age_qi_95={0.00370597028525,0.00736700970275}],1:0.00507219232[&age_median=0.00507219232,age_mean=0.0050573713918,age_n=338,age_range={0.0022795375,0.00760147143},age_hpdi_95={0.00328471103,0.00730572816},age_qi_95={0.0030470259255,0.007091174239}],1:0.004639366965[&age_median=0.004639366965,age_mean=0.00460423308275,age_n=338,age_range={0.00173275053,0.00731914935},age_hpdi_95={0.00259796302,0.00665938138},age_qi_95={0.002601530147,0.006658401279}],1:0.004166756815[&age_median=0.004166756815,age_mean=0.00412539259405,age_n=338,age_range={0.00148326723,0.00725162033},age_hpdi_95={0.00201194488,0.00594094883},age_qi_95={0.00212286466175,0.00624174591875}],1:0.00360910675[&age_median=0.00360910675,age_mean=0.00363891385707,age_n=338,age_range={0.00121558374,0.00633988118},age_hpdi_95={0.00175723789,0.00555086146},age_qi_95={0.00184165439225,0.00565325594775}],1:0.00308108869[&age_median=0.00308108869,age_mean=0.00315567092831,age_n=338,age_range={0.00094696079,0.00608928945},age_hpdi_95={0.00137488718,0.00507988599},age_qi_95={0.00144844048475,0.005137587855}],1:0.002582997805[&age_median=0.002582997805,age_mean=0.0026378932758,age_n=338,age_range={0.00041166374,0.00600266896},age_hpdi_95={0.00088793573,0.00422986468},age_qi_95={0.0010103347125,0.00442788330625}],1:0.002036571645[&age_median=0.002036571645,age_mean=0.00208589018254,age_n=338,age_range={0.00034417906,0.00477232134},age_hpdi_95={0.00066814018,0.00365412361},age_qi_95={0.00075966506375,0.003909306281}],1:0.00146399477[&age_median=0.00146399477,age_mean=0.00156447943476,age_n=338,age_range={8.471866e-05,0.00465302791},age_hpdi_95={0.00028857927,0.00300792333},age_qi_95={0.00039990031325,0.00318837186}],1:0.000881285345[&age_median=0.000881285345,age_mean=0.00103667295021,age_n=338,age_range={5.759885e-05,0.00327677592},age_hpdi_95={5.759885e-05,0.00238452437},age_qi_95={0.00013951687075,0.0025215878375}],1:0.00038274076[&age_median=0.00038274076,age_mean=0.00051196430787,age_n=338,age_range={1.28509e-06,0.00215308049},age_hpdi_95={1.28509e-06,0.00145437215},age_qi_95={1.211131125e-05,0.00167510839175}]
2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.0311	0.00305466619777	2:0.00815727646[&age_median=0.00815727646,age_mean=0.00781994830987,age_n=311,age_range={0.00192203467,0.00998814797},age_hpdi_95={0.00454612089,0.00998814797},age_qi_95={0.003985474075,0.00993925435}],2:0.00563695868[&age_median=0.00563695868,age_mean=0.00557115448794,age_n=311,age_range={0.00038534017,0.00979321854},age_hpdi_95={0.00206492195,0.00949010721},age_qi_95={0.001492953195,0.009054240285}],2:0.00254276995[&age_median=0.00254276995,age_mean=0.00288059153582,age_n=311,age_range={1.14138e-06,0.00938874889},age_hpdi_95={1.14138e-06,0.0067643233},age_qi_95={0.0001031932775,0.0072913581425}],1:0.00961649162[&age_median=0.00961649162,age_mean=0.00947779985093,age_n=311,age_range={0.00748293509,0.00999956616},age_hpdi_95={0.00864671382,0.00999956616},age_qi_95={0.008209647835,0.0099779678875}],1:0.00909427753[&age_median=0.00909427753,age_mean=0.00896163677331,age_n=311,age_range={0.00641344144,0.00996469257},age_hpdi_95={0.00754149266,0.00994982347},age_qi_95={0.0072169321125,0.009887067395}],1:0.00851515408[&age_median=0.00851515408,age_mean=0.00839777744158,age_n=311,age_range={0.0057411932,0.00987620572},age_hpdi_95={0.00679570148,0.00977945026},age_qi_95={0.006558123365,0.0096566535425}],1:0.00792563582[&age_median=0.00792563582,age_mean=0.00781418231235,age_n=311,age_range={0.00471023202,0.00959181146},age_hpdi_95={0.00622063194,0.00959181146},age_qi_95={0.0058306856625,0.0093085029675}],1:0.0072910886[&age_median=0.0072910886,age_mean=0.00728750491547,age_n=311,age_range={0.00391361877,0.00928590954},age_hpdi_95={0.00531791646,0.00928590954},age_qi_95={0.0049958177475,0.0090209058325}],1:0.00681958871[&age_median=0.00681958871,age_mean=0.00672893141431,age_n=311,age_range={0.00386578134,0.00908773327},age_hpdi_95={0.00457926029,0.00890478671},age_qi_95={0.00437992713,0.00876500262}],1:0.00616589721[&age_median=0.00616589721,age_mean=0.00611618316463,age_n=311,age_range={0.00264348696,0.00898621992},age_hpdi_95={0.00385919743,0.00836886878},age_qi_95={0.00381999305,0.00833411319}],1:0.00557754195[&age_median=0.00557754195,age_mean=0.00555121142569,age_n=311,age_range={0.00230052947,0.00897091808},age_hpdi_95={0.00357179302,0.00819491907},age_qi_95={0.0030754070875,0.0079602288275}],1:0.00493665806[&age_median=0.00493665806,age_mean=0.00497523122723,age_n=311,age_range={0.00202022332,0.00840035244},age_hpdi_95={0.00249149447,0.00712611648},age_qi_95={0.002636231285,0.0073479689475}],1:0.00438784305[&age_median=0.00438784305,age_mean=0.00436646383846,age_n=311,age_range={0.00132272842,0.00793873221},age_hpdi_95={0.00226014051,0.00703988481},age_qi_95={0.0019084390475,0.00679451825}],1:0.00368389805[&age_median=0.00368389805,age_mean=0.00377466041707,age_n=311,age_range={0.00089686231,0.0070675557},age_hpdi_95={0.0017556384,0.0062790871},age_qi_95={0.0017231223925,0.0062730467125}],1:0.00300895379[&age_median=0.00300895379,age_mean=0.00312006370704,age_n=311,age_range={0.00046778084,0.00665237728},age_hpdi_95={0.00102948995,0.00514122052},age_qi_95={0.001276826035,0.005437073355}],1:0.0023768522[&age_median=0.0023768522,age_mean=0.00249783524138,age_n=311,age_range={0.00041227225,0.00610671326},age_hpdi_95={0.00064244787,0.00427842885},age_qi_95={0.0008297354775,0.0046816125975}],1:0.00178784004[&age_median=0.00178784004,age_mean=0.00188955719514,age_n=311,age_range={7.208174e-05,0.00604327021},age_hpdi_95={0.00045128604,0.00387170701},age_qi_95={0.0005724696925,0.004049269365}],1:0.0011261478[&age_median=0.0011261478,age_mean=0.00131867343727,age_n=311,age_range={5.408087e-05,0.00579682583},age_hpdi_95={9.889992e-05,0.00283235478},age_qi_95={0.0001559567025,0.003202291285}],1:0.00044036793[&age_median=0.00044036793,age_mean=0.000630030467235,age_n=311,age_range={2.68e-07,0.00354201318},age_hpdi_95={2.68e-07,0.00185083538},age_qi_95={1.28717725e-05,0.002185410805}]
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.0308	0.00366786868283	2:0.007483347175[&age_median=0.007483347175,age_mean=0.00717935368896,age_n=308,age_range={0.0015271327,0.00991878445},age_hpdi_95={0.00276109753,0.00991878445},age_qi_95={0.0022653520905,0.0098444859115}],2:0.00327496739[&age_median=0.00327496739,age_mean=0.00374575716062,age_n=308,age_range={1.529906e-05,0.00938504318},age_hpdi_95={1.529906e-05,0.00810680577},age_qi_95={0.000232470507,0.00860302979725}],1:0.00964790238[&age_median=0.00964790238,age_mean=0.00952667850672,age_n=308,age_range={0.00778705519,0.00999897503},age_hpdi_95={0.00875376313,0.00999897503},age_qi_95={0.00847074356575,0.00998157065375}],1:0.009112353565[&age_median=0.009112353565,age_mean=0.00901361702653,age_n=308,age_range={0.0067389825,0.00994876654},age_hpdi_95={0.00779496114,0.00994876654},age_qi_95={0.00755859329875,0.0098483134515}],1:0.008595639195[&age_median=0.008595639195,age_mean=0.00850878608883,age_n=308,age_range={0.00600141836,0.00986419656},age_hpdi_95={0.00712814505,0.0096850491},age_qi_95={0.00690869367725,0.009643036963}],1:0.00809031348[&age_median=0.00809031348,age_mean=0.00805248375211,age_n=308,age_range={0.00572869486,0.00977196814},age_hpdi_95={0.00650772965,0.00958446768},age_qi_95={0.0062816832265,0.00949384991475}],1:0.00756320783[&age_median=0.00756320783,age_mean=0.0074861656736,age_n=308,age_range={0.00483697596,0.00945134003},age_hpdi_95={0.00528902037,0.00887657553},age_qi_95={0.00549349662175,0.0091764921595}],1:0.007043551495[&age_median=0.007043551495,age_mean=0.00700457131938,age_n=308,age_range={0.0042341643,0.00917006774},age_hpdi_95={0.00512686217,0.00887512811},age_qi_95={0.00495725487675,0.00877250224175}],1:0.006504491385[&age_median=0.006504491385,age_mean=0.00651040159484,age_n=308,age_range={0.00419302008,0.00889154969},age_hpdi_95={0.00431852408,0.00819351045},age_qi_95={0.00449014055775,0.0084178311655}],1:0.00604934561[&age_median=0.00604934561,age_mean=0.00600575190273,age_n=308,age_range={0.00340397353,0.0088676108},age_hpdi_95={0.00390556394,0.00790333531},age_qi_95={0.00400696207475,0.00813973292}],1:0.005538595215[&age_median=0.005538595215,age_mean=0.0054649296676,age_n=308,age_range={0.002857588,0.00822853146},age_hpdi_95={0.00342335416,0.00730597409},age_qi_95={0.0034957031375,0.0074200237555}],1:0.004808164295[&age_median=0.004808164295,age_mean=0.00493435858347,age_n=308,age_range={0.00248734533,0.00810615574},age_hpdi_95={0.00314647153,0.00690663878},age_qi_95={0.003160165217,0.006954591808}],1:0.004394754045[&age_median=0.004394754045,age_mean=0.00443596193377,age_n=308,age_range={0.00168524315,0.00792321094},age_hpdi_95={0.00251529877,0.00627988404},age_qi_95={0.00268722487375,0.00653548816425}],1:0.003815066215[&age_median=0.003815066215,age_mean=0.00390765650039,age_n=308,age_range={0.00148363067,0.006785584},age_hpdi_95={0.00219507486,0.00594499618},age_qi_95={0.00220444691775,0.006012821769}],1:0.003324305125[&age_median=0.003324305125,age_mean=0.00339566079955,age_n=308,age_range={0.00073933291,0.00666057436},age_hpdi_95={0.00182233388,0.00567779492},age_qi_95={0.0015141116735,0.005556946741}],1:0.002753228145[&age_median=0.002753228145,age_mean=0.00282492260558,age_n=308,age_range={0.00058973846,0.00633549049},age_hpdi_95={0.0011270929,0.00437364312},age_qi_95={0.0012427254415,0.004592809623}],1:0.00220302147[&age_median=0.00220302147,age_mean=0.00228117223406,age_n=308,age_range={0.00027562527,0.00558591983},age_hpdi_95={0.00083421821,0.00399022777},age_qi_95={0.00083726705675,0.00399706691725}],1:0.001632468395[&age_median=0.001632468395,age_mean=0.00170633262867,age_n=308,age_range={0.00018421092,0.00387298827},age_hpdi_95={0.0002871517,0.00328754429},age_qi_95={0.00051854404325,0.00360971315725}],1:0.00106609045[&age_median=0.00106609045,age_mean=0.00118113018854,age_n=308,age_range={3.086825e-05,0.00345037995},age_hpdi_95={8.99566e-05,0.00251704405},age_qi_95={0.0001611053065,0.0026861256295}],1:0.000450180915[&age_median=0.000450180915,age_mean=0.000566267659026,age_n=308,age_range={3.56946e-06,0.00254010961},age_hpdi_95={3.56946e-06,0.00163388759},age_qi_95={1.48519795e-05,0.001896081227}]
2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.0257	0.00437803522752	2:0.00875838096[&age_median=0.00875838096,age_mean=0.00831208021696,age_n=257,age_range={0.00339128447,0.00999518846},age_hpdi_95={0.00553858091,0.00999518846},age_qi_95={0.004908910052,0.009969982352}],2:0.00671723772[&age_median=0.00671723772,age_mean=0.00668982229619,age_n=257,age_range={0.00120615947,0.00989273378},age_hpdi_95={0.00330014548,0.00962660699},age_qi_95={0.00207335666,0.009502182302}],2:0.00454492911[&age_median=0.00454492911,age_mean=0.00457908469564,age_n=257,age_range={0.00020428324,0.00936361111},age_hpdi_95={0.00067546266,0.00798340925},age_qi_95={0.001014263472,0.008536984952}],2:0.00214881957[&age_median=0.00214881957,age_mean=0.00250275798887,age_n=257,age_range={1.192344e-05,0.00789651899},age_hpdi_95={1.192344e-05,0.00630172332},age_qi_95={0.000176589386,0.006599989136}],1:0.00949510685[&age_median=0.00949510685,age_mean=0.00935841137747,age_n=257,age_range={0.00638363415,0.00998617574},age_hpdi_95={0.00824211281,0.00998617574},age_qi_95={0.007938557728,0.009966996108}],1:0.00885412089[&age_median=0.00885412089,age_mean=0.00871757411148,age_n=257,age_range={0.00578285679,0.00993294923},age_hpdi_95={0.00707066149,0.00993294923},age_qi_95={0.006813225118,0.009777482282}],1:0.00821538566[&age_median=0.00821538566,age_mean=0.008114057063,age_n=257,age_range={0.00503834186,0.00971760098},age_hpdi_95={0.00634349641,0.00967720274},age_qi_95={0.006065452102,0.00953150048}],1:0.00755556073[&age_median=0.00755556073,age_mean=0.00743452356537,age_n=257,age_range={0.00424187386,0.00960508714},age_hpdi_95={0.00526893958,0.00908113855},age_qi_95={0.005187780166,0.00902223321}],1:0.00697744453[&age_median=0.00697744453,age_mean=0.00683506391665,age_n=257,age_range={0.00349823581,0.00903615841},age_hpdi_95={0.00462261129,0.00867563046},age_qi_95={0.004651241846,0.00864667458}],1:0.00628750119[&age_median=0.00628750119,age_mean=0.0061476571663,age_n=257,age_range={0.00229467554,0.00893862321},age_hpdi_95={0.00381122067,0.00828203184},age_qi_95={0.003731732402,0.008209076992}],1:0.00540247734[&age_median=0.00540247734,age_mean=0.00549089742825,age_n=257,age_range={0.00185072295,0.00888718617},age_hpdi_95={0.00304097667,0.00750090423},age_qi_95={0.003114404216,0.007657411888}],1:0.00476897878[&age_median=0.00476897878,age_mean=0.00487305873471,age_n=257,age_range={0.0017665503,0.00794380119},age_hpdi_95={0.00261639075,0.00728067838},age_qi_95={0.002412753786,0.007111603692}],1:0.00412594871[&age_median=0.00412594871,age_mean=0.00420506730922,age_n=257,age_range={0.00147538799,0.00726053371},age_hpdi_95={0.00226246001,0.00688394122},age_qi_95={0.001973772652,0.006637380956}],1:0.00342696861[&age_median=0.00342696861,age_mean=0.00356717957498,age_n=257,age_range={0.00092398394,0.00642554294},age_hpdi_95={0.00131331992,0.00581109226},age_qi_95={0.001389651238,0.005954483702}],1:0.00275510726[&age_median=0.00275510726,age_mean=0.0028878767758,age_n=257,age_range={0.00035612207,0.00624834122},age_hpdi_95={0.00074880655,0.00535321066},age_qi_95={0.000810312532,0.005504043602}],1:0.00199050111[&age_median=0.00199050111,age_mean=0.00218965144019,age_n=257,age_range={0.00021967564,0.00567552686},age_hpdi_95={0.00029440755,0.00430562823},age_qi_95={0.000526686718,0.005024068392}],1:0.00131073383[&age_median=0.00131073383,age_mean=0.00147251152992,age_n=257,age_range={2.824561e-05,0.00493708657},age_hpdi_95={0.00016233757,0.00336209072},age_qi_95={0.000203009502,0.00360376103}],1:0.00051498823[&age_median=0.00051498823,age_mean=0.000749731597393,age_n=257,age_range={7.644e-08,0.003558286},age_hpdi_95={7.644e-08,0.00227687423},age_qi_95={1.5570024e-05,0.002588983006}]
12,10	0.0187	0.00519138202267	12:0.00881476852[&age_median=0.00881476852,age_mean=0.0213652472887,age_n=187,age_range={0.00026251981,0.13689464191},age_hpdi_95={0.00026251981,0.10851468402},age_qi_95={0.0020123768875,0.120566721636}],10:0.0083053331[&age_median=0.0083053331,age_mean=0.0293376141049,age_n=187,age_range={0.00105365606,0.31725595146},age_hpdi_95={0.00105365606,0.14581047068},age_qi_95={0.0018572656935,0.166429622974}]
2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1	0.0171	0.00582293278535	2:0.00883740193[&age_median=0.00883740193,age_mean=0.00840790374532,age_n=171,age_range={0.00362374433,0.00998758645},age_hpdi_95={0.00558499296,0.00998758645},age_qi_95={0.0054004938325,0.009961169705}],2:0.00689431498[&age_median=0.00689431498,age_mean=0.00681918774228,age_n=171,age_range={0.00124786402,0.00982080966},age_hpdi_95={0.00379299332,0.00982080966},age_qi_95={0.0032267667975,0.0094500309225}],2:0.0052471945[&age_median=0.0052471945,age_mean=0.00533211610129,age_n=171,age_range={0.00092268447,0.00915183768},age_hpdi_95={0.00150048815,0.00840229857},age_qi_95={0.00158224311,0.00844461489}],2:0.00351927864[&age_median=0.00351927864,age_mean=0.00356168836181,age_n=171,age_range={0.00020066344,0.00795733995},age_hpdi_95={0.00070229293,0.00669139266},age_qi_95={0.0007420425575,0.006736859175}],2:0.00154419488[&age_median=0.00154419488,age_mean=0.0017819986031,age_n=171,age_range={2.2616e-07,0.00587851773},age_hpdi_95={2.2616e-07,0.00468295931},age_qi_95={7.0088995e-05,0.00512747745}],1:0.00943195201[&age_median=0.00943195201,age_mean=0.00926287324713,age_n=171,age_range={0.00719865105,0.00998856087},age_hpdi_95={0.00803859418,0.00998856087},age_qi_95={0.0077919286125,0.009970924285}],1:0.00867726236[&age_median=0.00867726236,age_mean=0.00853146365766,age_n=171,age_range={0.00583407153,0.00994946155},age_hpdi_95={0.00698488788,0.00994946155},age_qi_95={0.0066189412475,0.009767296145}],1:0.00797744317[&age_median=0.00797744317,age_mean=0.00784137708626,age_n=171,age_range={0.00447775831,0.00987814479},age_hpdi_95={0.00589572739,0.00938687576},age_qi_95={0.0059070481025,0.009382085475}],1:0.00723137872[&age_median=0.00723137872,age_mean=0.00709771723158,age_n=171,age_range={0.00436420385,0.00939759731},age_hpdi_95={0.00508970272,0.00916922714},age_qi_95={0.0046984062225,0.00902411004}],1:0.00643414306[&age_median=0.00643414306,age_mean=0.00642292142351,age_n=171,age_range={0.00359179059,0.00916495074},age_hpdi_95={0.00432236814,0.00883708745},age_qi_95={0.00422093054,0.0087880779175}],1:0.00563426779[&age_median=0.00563426779,age_mean=0.00564184855556,age_n=171,age_range={0.00261753822,0.00875130608},age_hpdi_95={0.00301326373,0.00825710847},age_qi_95={0.0030577223825,0.0083713188525}],1:0.00480554255[&age_median=0.00480554255,age_mean=0.00492454921146,age_n=171,age_range={0.0016240931,0.00864271996},age_hpdi_95={0.00206474384,0.00761378478},age_qi_95={0.00219107172,0.0077242518525}],1:0.00403440204[&age_median=0.00403440204,age_mean=0.00411295190713,age_n=171,age_range={0.00117559633,0.00826006741},age_hpdi_95={0.00170089611,0.00723065163},age_qi_95={0.0014958054975,0.0070573669175}],1:0.00322624492[&age_median=0.00322624492,age_mean=0.00330916445725,age_n=171,age_range={0.00080975365,0.00782534766},age_hpdi_95={0.00080975365,0.00571039588},age_qi_95={0.00106040337,0.0063283506325}],1:0.00251579642[&age_median=0.00251579642,age_mean=0.00259885040579,age_n=171,age_range={0.00017290696,0.00602123238},age_hpdi_95={0.00059194019,0.00501408916},age_qi_95={0.000696550125,0.0051725357075}],1:0.00161633575[&age_median=0.00161633575,age_mean=0.00182851049474,age_n=171,age_range={0.00014995465,0.00529110543},age_hpdi_95={0.00014995465,0.00403440669},age_qi_95={0.0003085397825,0.0045787034175}],1:0.00062337768[&age_median=0.00062337768,age_mean=0.000923483835497,age_n=171,age_range={7.74593e-06,0.00513187516},age_hpdi_95={7.74593e-06,0.00290360679},age_qi_95={3.11044175e-05,0.003519711835}]
