num_of_div_events	estimated_prob	glm_adjusted_prob
1	0.2087	0.0066547815359
2	0.0616	0.104713877499
3	0.043	0.195715413333
4	0.0427	0.546718167829
5	0.0393	0.0490302153184
6	0.0407	0.00575870656577
7	0.0388	0.0865207829483
8	0.0371	0.00488802841259
9	0.0332	2.64965340307e-08
10	0.0344	6.36891814472e-12
11	0.0352	5.42898267627e-12
12	0.0366	5.09358368121e-12
13	0.0353	4.81568801072e-12
14	0.0369	4.32674691321e-12
15	0.0359	4.35290467686e-12
16	0.0344	4.24552100136e-12
17	0.0344	4.60771632444e-12
18	0.0341	4.61937108488e-12
19	0.0364	5.15887551681e-12
20	0.0331	4.96051018655e-12
21	0.0338	5.25552507346e-12
22	0.0344	2.87317276534e-12
