num_of_div_events	estimated_prob	glm_adjusted_prob
1	0.3051	0.000836408404314
2	0.068	0.0186948319052
3	0.041	0.0304354254458
4	0.0356	0.0520432477729
5	0.0311	0.0484482784942
6	0.0296	0.068243703853
7	0.0308	0.577759394437
8	0.0295	0.145035801595
9	0.0305	0.00842726942761
10	0.0304	0.0474449493015
11	0.0341	0.00262989472476
12	0.0313	7.94633559848e-07
13	0.0296	4.3633572634e-12
14	0.0274	1.21698261276e-21
15	0.0314	1.24078522795e-22
16	0.0285	1.16191793253e-22
17	0.0325	1.32348834848e-22
18	0.0313	1.3122696772e-22
19	0.0291	1.24217984491e-22
20	0.0311	1.35333113549e-22
21	0.0306	1.35733789877e-22
22	0.0315	7.0644328186e-23
