what	PRI.div.model	PRI.model	PRI.Psi	PRI.E.t	PRI.omega
mode	375.96	1.9969	7.0108	0.192242	0.251855
mean	0.691173	0.499374	0.322706	0.655171	0.383881
median	372.321	1.99685	7.00079	0.190872	0.25002
quantile_50_lower_bound	174.922	1.9587	6.61325	0.182975	0.237142
quantile_50_upper_bound	378.202	2.03503	7.36204	0.194571	0.258902
quantile_90_lower_bound	45.6632	1.90382	3.50154	0.148062	0.142484
quantile_90_upper_bound	385.263	2.09016	9.50531	0.220577	0.352874
quantile_95_lower_bound	31.104	1.88601	2.75903	0.136386	0.113544
quantile_95_upper_bound	387.702	2.10828	10.0284	0.224762	0.36197
quantile_99_lower_bound	10.4198	1.85119	1.82094	0.12634	0.0785696
quantile_99_upper_bound	408.784	2.14537	10.4006	0.229551	0.372017
HPD_50_lower_bound	369.143	1.9589	6.64116	0.187967	0.242098
HPD_50_upper_bound	382.692	2.0345	7.38674	0.19646	0.261864
HPD_90_lower_bound	23.282	1.90409	3.0078	0.159608	0.113554
HPD_90_upper_bound	392.576	2.08971	10.3228	0.227612	0.370517
HPD_95_lower_bound	8.49834	1.88569	2.77888	0.13139	0.105183
HPD_95_upper_bound	393.556	2.10771	10.3963	0.229324	0.373411
HPD_99_lower_bound	0.999996	1.84968	1.71407	0.126632	0.0746552
HPD_99_upper_bound	419.885	2.14371	10.5266	0.23183	0.378068
